acquaintance	əˈkweɪntəns
prejudice	ˈprɛʤʊdɪs
populace	ˈpɒpjələs
auspice	'ɔːspɪs
indifference	ɪnˈdɪfrəns
semblance	ˈsɛmbləns
face	feɪs
resemblance	rɪˈzɛmbləns
disappearance	ˌdɪsəˈpɪərəns
accomplice	əˈkɒmplɪs
assistance	əˈsɪstəns
salience	ˈseɪljəns
radiance	ˈreɪdiəns
appliance	əˈplaɪəns
palace	ˈpælɪs
countenance	ˈkaʊntənəns
marketplace	ˈmɑːkɪtpleɪs
science	ˈsaɪəns
hospice	ˈhɒspɪs
defiance	dɪˈfaɪəns
insurance	ɪnˈʃʊərəns
governance	ˈɡʌvənəns
resilience	rɪˈzɪlɪəns
scarce	skeəs
fierce	fɪəs
spice	spaɪs
divergence	daɪˈvɜːʤəns
reluctance	rɪˈlʌktəns
force	fɔːs
essence	ˈɛsns
splice	splaɪs
circumstance	ˈsɜːkəmstəns
entice	ɪnˈtaɪs
diligence	ˈdɪlɪʤəns
crevice	ˈkrɛvɪs
invoice	ˈɪnvɔɪs
obedience	əˈbiːdiəns
correspondence	ˌkɒrɪsˈpɒndəns
sustenance	ˈsʌstɪnəns
recurrence	rɪˈkʌrəns
disservice	ˌdɪsˈsɜːvɪs
mouthpiece	ˈmaʊθpiːs
disturbance	dɪsˈtɜːbəns
surveillance	sɜːˈveɪləns
grace	ɡreɪs
fragrance	ˈfreɪɡrəns
inheritance	ɪnˈhɛrɪtəns
conference	ˈkɒnfərəns
voice	vɔɪs
remittance	rɪˈmɪtəns
inconvenience	ˌɪnkənˈviːniəns
indulgence	ɪnˈdʌlʤəns
twice	twaɪs
reminisce	ˌrɛmɪˈnɪs
outsource	ˌaʊtˈsɔːs
counterbalance	ˈkaʊntəˌbæləns
resurgence	rɪˈsɜːʤəns
brilliance	ˈbrɪljəns
pierce	pɪəs
avoidance	əˈvɔɪdəns
sequence	ˈsiːkwəns
consequence	ˈkɒnsɪkwəns
difference	ˈdɪfrəns
resurface	ˌriːˈsɜːfɪs
competence	ˈkɒmpɪtəns
confluence	ˈkɒnflʊəns
introduce	ˌɪntrəˈdjuːs
birthplace	ˈbɜːθˌpleɪs
replace	rɪˈpleɪs
hence	hɛns
lace	leɪs
allegiance	əˈliːʤəns
imbalance	ɪmˈbæləns
excellence	ˈɛksələns
nuisance	ˈnjuːsns
preference	ˈprɛfərəns
reticence	ˈrɛtɪsəns
peace	piːs
cowardice	ˈkaʊədɪs
someplace	ˈsʌmpleɪs
pace	peɪs
terrace	ˈtɛrəs
deliverance	dɪˈlɪvərəns
evince	ɪˈvɪns
wince	wɪns
fireplace	ˈfaɪəˌpleɪs
insistence	ɪnˈsɪstəns
abundance	əˈbʌndəns
instance	ˈɪnstəns
embrace	ɪmˈbreɪs
eloquence	ˈɛləʊkwəns
reproduce	ˌriːprəˈdjuːs
malice	ˈmælɪs
equivalence	ɪˈkwɪvələns
adherence	ədˈhɪərəns
permanence	ˈpɜːmənəns
induce	ɪnˈdjuːs
service	ˈsɜːvɪs
resource	rɪˈsɔːs
coherence	kəʊˈhɪərəns
precedence	ˈprɛsɪdəns
apprentice	əˈprɛntɪs
cyberspace	ˈsaɪbəˌspeɪs
grievance	ˈɡriːvəns
fleece	fliːs
abstinence	ˈæbstɪnəns
edifice	ɛˈdɪfɪs
device	dɪˈvaɪs
interface	ˈɪntəˌfeɪs
slice	slaɪs
existence	ɪɡˈzɪstəns
truce	truːs
aerospace	ˈeərəˌspeɪs
since	sɪns
preponderance	prɪˈpɒndərəns
tolerance	ˈtɒlərəns
ace	eɪs
condolence	kənˈdəʊləns
apiece	əˈpiːs
innocence	ˈɪnəsəns
balance	ˈbæləns
dependence	dɪˈpɛndəns
distance	ˈdɪstəns
elegance	ˈɛlɪɡəns
ignorance	ˈɪɡnərəns
guidance	ˈɡaɪdəns
race	reɪs
incompetence	ɪnˈkɒmpɪtəns
grimace	ɡrɪˈmeɪs
vice	vaɪs
resonance	ˈrɛznəns
attendance	əˈtɛndəns
pounce	paʊns
ambience	ˈæmbɪəns
confidence	ˈkɒnfɪdəns
remembrance	rɪˈmɛmbrəns
refinance	ˌriːfaɪˈnæns
displace	dɪsˈpleɪs
prudence	ˈpruːdəns
artifice	ˈɑːtɪfɪs
penance	ˈpɛnəns
significance	sɪɡˈnɪfɪkəns
workplace	ˈwɜːkˌpleɪs
endurance	ɪnˈdjʊərəns
prince	prɪns
perseverance	ˌpɜːsɪˈvɪərəns
intelligence	ɪnˈtɛlɪʤəns
inference	ˈɪnfərəns
chance	ʧɑːns
nuance	ˈnjuːɑːns
masterpiece	ˈmɑːstəpiːs
lattice	ˈlætɪs
seduce	sɪˈdjuːs
prevalence	ˈprɛvələns
province	ˈprɒvɪns
rice	raɪs
affluence	ˈæflʊəns
transcendence	trænˈsendəns
impatience	ɪmˈpeɪʃəns
space	speɪs
benevolence	bɪˈnɛvələns
acquiescence	ˌækwɪˈɛsns
reassurance	ˌriːəˈʃʊərəns
prominence	ˈprɒmɪnəns
evidence	ˈɛvɪdəns
vigilance	ˈvɪʤɪləns
workforce	ˈwɜːkˌfɔːs
notice	ˈnəʊtɪs
incontinence	ɪnˈkɒntɪnəns
ambulance	ˈæmbjələns
malpractice	ˌmælˈpræktɪs
disgrace	dɪsˈɡreɪs
ice	aɪs
price	praɪs
appearance	əˈpɪərəns
conscience	ˈkɒnʃəns
farce	fɑːs
reverence	ˈrəvərəns
surface	ˈsɜːfɪs
novice	ˈnɒvɪs
clearance	ˈklɪərəns
maintenance	ˈmeɪntənəns
produce	ˈprɒdjuːs
turbulence	ˈtɜːbjələns
