compose	kəmˈpəʊz
louse	laʊs
collapse	kəˈlæps
response	rɪsˈpɒns
rehearse	rɪˈhɜːs
incense	ˈɪnsɛns
abuse	əˈbjuːs
applause	əˈplɔːz
base	beɪs
clockwise	ˈklɒkwaɪz
archdiocese	ˌɑːʧˈdaɪəsɪs
impasse	æmˈpɑːs
overuse	ˌəʊvəˈjuːz
please	pliːz
tense	tɛns
otherwise	ˈʌðəwaɪz
inverse	ɪnˈvɜːs
crosswise	ˈkrɒswaɪz
expose	ɪksˈpəʊz
phase	feɪz
posse	ˈpɒsi
tease	tiːz
rouse	raʊz
crease	kriːs
propose	prəˈpəʊz
coarse	kɔːs
enterprise	ˈɛntəpraɪz
raise	reɪz
condense	kənˈdɛns
curse	kɜːs
goose	ɡuːs
diocese	ˈdaɪəsɪs
erase	ɪˈreɪz
adverse	ˈædvɜːs
comatose	ˈkəʊmətəʊs
verse	vɜːs
farmhouse	ˈfɑːmhaʊs
superimpose	ˈsuːpərɪmˈpəʊz
blouse	blaʊz
disclose	dɪsˈkləʊz
juxtapose	ˈʤʌkstəpəʊz
briefcase	ˈbriːfˌkeɪs
douse	daʊs
cruise	kruːz
cause	kɔːz
misuse	ˌmɪsˈjuːs
endorse	ɪnˈdɔːs
disperse	dɪsˈpɜːs
nurse	nɜːs
revise	rɪˈvaɪz
impulse	ˈɪmpʌls
chase	ʧeɪs
warehouse	ˈweəhaʊs
amuse	əˈmjuːz
glimpse	ɡlɪmps
unease	ˌʌnˈiːz
unwise	ʌnˈwaɪz
devise	dɪˈvaɪz
phrase	freɪz
immerse	ɪˈmɜːs
clubhouse	ˈklʌbˌhaʊs
parse	pɑːz
comprise	kəmˈpraɪz
sunrise	ˈsʌnraɪz
use	juːz
fuse	fjuːz
expertise	ˌɛkspɜːˈtiːz
slaughterhouse	ˈslɔːtəhaʊs
excuse	ɪksˈkjuːs
expanse	ɪksˈpæns
exercise	ˈɛksəsaɪz
accuse	əˈkjuːz
poise	pɔɪz
cease	siːs
confuse	kənˈfjuːz
house	haʊs
offense	əˈfɛns
surmise	sɜːˈmaɪz
enclose	ɪnˈkləʊz
refuse	ˌriːˈfjuːz
predispose	ˌpriːdɪsˈpəʊz
schoolhouse	ˈskuːlhaʊs
hose	həʊz
premise	ˈprɛmɪs
close	kləʊs
purchase	ˈpɜːʧəs
intense	ɪnˈtɛns
excise	ɛkˈsaɪz
concise	kənˈsaɪs
whose	huːz
grandiose	ˈɡrændɪəʊs
paraphrase	ˈpærəfreɪz
recourse	rɪˈkɔːs
expense	ɪksˈpɛns
choose	ʧuːz
ruse	ruːz
purse	pɜːs
sense	sɛns
mousse	muːs
arouse	əˈraʊz
lengthwise	ˈlɛŋθwaɪz
dense	dɛns
courthouse	ˈkɔːtˈhaʊs
repulse	rɪˈpʌls
diagnose	ˈdaɪəɡnəʊz
guise	ɡaɪz
foreclose	fɔːˈkləʊz
presuppose	ˌpriːsəˈpəʊz
compromise	ˈkɒmprəmaɪz
rose	rəʊz
chastise	ʧæsˈtaɪz
appease	əˈpiːz
turquoise	ˈtɜːkwɑːz
supervise	ˈsuːpəvaɪz
impose	ɪmˈpəʊz
oppose	əˈpəʊz
surprise	səˈpraɪz
outhouse	ˈaʊthaʊs
wise	waɪz
cleanse	klɛnz
dispose	dɪsˈpəʊz
bruise	bruːz
rise	raɪz
loose	luːs
intercourse	ˈɪntəkɔːs
improvise	ˈɪmprəvaɪz
moose	muːs
ease	iːz
decrease	ˈdiːkriːs
universe	ˈjuːnɪvɜːs
decompose	ˌdiːkəmˈpəʊz
lose	luːz
espouse	ɪsˈpaʊz
diffuse	dɪˈfjuːs
because	bɪˈkɒz
despise	dɪsˈpaɪz
tortoise	ˈtɔːtəs
mouse	maʊs
